,role,company_name,work_experience,location,skills,post_date,link
48,Business Management Associate,Deutsche Bank,6-10 Yrs,Bangalore/Bengaluru,"['Business Management', 'project management', 'Investment Banking', 'Vendor Risk Management', 'Alteryx', 'Tableau', 'Data Analytics', 'Python']",Few Hours Ago,https://www.naukri.com/job-listings-business-management-associate-deutsche-bank-ag-bangalore-bengaluru-6-to-10-years-260124906808
49,Business Development Manager,Vande Bharat Solar Solutions,3-5 Yrs,"Noida, Uttar Pradesh, Varanasi, Uttar Pradesh, Kanpur, Uttar Pradesh","['Solar Energy', 'Solar', 'Renewable Energy', 'Sales And Marketing', 'Sales And Business Development', 'Sales', 'Management', 'Energy']",Few Hours Ago,https://www.naukri.com/job-listings-business-development-manager-vande-bharat-solar-solutions-noida-uttar-pradesh-varanasi-uttar-pradesh-kanpur-uttar-pradesh-3-to-5-years-260124006807
50,Employee Wellness Manager - Bangalore,LNS Global,7-10 Yrs,Bengaluru,"['Health Care Services', 'Public Health', 'Healthcare Management', 'Health Promotion', 'Employee Wellness', 'Wellness', 'Public', 'Health']",Few Hours Ago,https://www.naukri.com/job-listings-employee-wellness-manager-bangalore-lns-global-bengaluru-7-to-10-years-291223002820
51,Physical Design Engineer,Intel,5-10 Yrs,Bangalore/Bengaluru,"['Physical Design', 'Data analysis', 'VLSI', 'SOC', 'Physical Design Engineer', 'Ethernet', 'Debugging', 'CTS implementation']",Few Hours Ago,https://www.naukri.com/job-listings-physical-design-engineer-intel-technology-india-pvt-ltd-bangalore-bengaluru-5-to-10-years-260124906715
52,Data Scientist,IBM,3-6 Yrs,"Mumbai, Bangalore/Bengaluru","['Automation', 'Project management', 'Javascript', 'HTML', 'SQL', 'Cloud computing', 'Machine learning', 'Agile']",Few Hours Ago,https://www.naukri.com/job-listings-data-scientist-ibm-india-pvt-limited-mumbai-bangalore-bengaluru-3-to-6-years-260124906676
53,Process Analyst - Risk and Compliance,IBM,1-4 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Financial services', 'Due diligence', 'Document review', 'SAR', 'Anti money laundering', 'Process operations', 'Data']",Few Hours Ago,https://www.naukri.com/job-listings-process-analyst-risk-and-compliance-ibm-india-pvt-limited-bangalore-bengaluru-1-to-4-years-260124906621
54,Data Analyst + BI (Tableau),Technogen,5-8 Yrs,"Hyderabad, Telangana","['DWH', 'Tableau', 'ETL', 'SQL', 'Data', 'Bi', 'Data warehousing']",Few Hours Ago,https://www.naukri.com/job-listings-data-analyst-bi-tableau-technogen-hyderabad-telangana-5-to-8-years-260124006605
55,Fresher Hiring Branch Banking ( Back Office ) | Job In Leading Banks,Next Business Services India,0-4 Yrs,"Noida, Kashipur, Ghaziabad, Dehradun, Rudrapur, Haldwani, Faridabad, Gurgaon/Gurugram, Delhi / NCR","['Retail Banking', 'Non Voice', 'MIS Reporting', 'Backend', 'mis executive', 'Cross Selling', 'Banking', 'Internet Banking']",Few Hours Ago,https://www.naukri.com/job-listings-fresher-hiring-branch-banking-back-office-in-leading-banks-next-business-services-india-noida-kashipur-ghaziabad-dehradun-rudrapur-haldwani-faridabad-gurgaon-gurugram-delhi-ncr-0-to-4-years-150423002892
56,Workplace Services Specialist- FS - Associate 2,PwC Service Delivery Center,3-5 Yrs,"Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru","['Administration', 'data analysis', 'Workplace Services Specialist', 'Research analysis', 'Data', 'Research', 'Analysis', 'Workplace']",Few Hours Ago,https://www.naukri.com/job-listings-workplace-services-specialist-fs-associate-2-pricewaterhousecoopers-professional-services-llp-kolkata-hyderabad-secunderabad-bangalore-bengaluru-3-to-5-years-260124906572
57,Business Analyst - Spanish speaking,RandomT,4-9 Yrs,Hyderabad/Secunderabad,"['business analysis', 'marketing', 'data analysis', 'product management', 'product vision', 'research analysis', 'business analyst', 'market research']",Few Hours Ago,https://www.naukri.com/job-listings-business-analyst-spanish-speaking-ave-promagne-business-solutions-hyderabad-secunderabad-4-to-9-years-260124906549
58,Data Engineer,Lancetech Solutions,5-10 Yrs,"Mumbai, Delhi / NCR, Bangalore/Bengaluru","['IBM DataStage', 'Azure', 'Trello', 'Snowflake', 'Data Warehouse', 'ETL', 'JIRA', 'AWS']",Few Hours Ago,https://www.naukri.com/job-listings-data-engineer-lancetech-solutions-mumbai-delhi-ncr-bangalore-bengaluru-5-to-10-years-260124906545
59,Supply Chain and Logistics Executive,Legend Footwear,5-6 Yrs,Remote,"['Logistics Operations', 'Supply Chain Operations', '3Pl', 'Supply Chain Management', 'Logistics Management', 'Inbound Logistics', 'custom warehousing', 'Logistics Planning']",Few Hours Ago,https://www.naukri.com/job-listings-supply-chain-and-logistics-executive-legend-footwear-united-kingdom-uk-5-to-6-years-260124006521
60,Ecommerce Executive,Aeliya Marine Tech,1-3 Yrs,"Bhavnagar, Gujarat","['Ecommerce Marketing', 'Listing', 'Pricing', 'Returns Management', 'Order Processing', 'Delivery Management', 'Management', 'Process']",1 Day Ago,https://www.naukri.com/job-listings-ecommerce-executive-aeliya-marine-tech-bhavnagar-gujarat-1-to-3-years-260124006483
61,Assistant Data Analysis Manager,Prasad Dharaskar Associates,0-1 Yrs,"Nagpur, Maharashtra","['Knowledge of English language is must. knowledge of MS Word and MS Excel is must.', 'Microsoft', 'Advanced Excel', 'Management', 'Assistance', 'Data management', 'Excel', 'Languages']",1 Day Ago,https://www.naukri.com/job-listings-assistant-data-analysis-manager-prasad-dharaskar-associates-nagpur-maharashtra-0-to-1-years-260124006400
62,Data Analyst,Arzovi Solutions,1-4 Yrs,"Mohali, Punjab","['Data Analysis', 'US Healthcare', 'Medical Billing', 'SQL', 'Medical', 'Billing', 'Healthcare', 'Data']",1 Day Ago,https://www.naukri.com/job-listings-data-analyst-arzovi-solutions-llp-mohali-punjab-1-to-4-years-260124006346
63,Campaign Management Sr Analyst,Accenture,5-8 Yrs,Mumbai,"['Automation', 'Coding', 'HTML', 'SQL', 'CRM', 'Data analysis', 'Email marketing', 'Digital marketing']",1 Day Ago,https://www.naukri.com/job-listings-campaign-management-sr-analyst-accenture-solutions-pvt-ltd-mumbai-5-to-8-years-260124906104
64,Analytics Specialist - Insights and Intelligence,Accenture,7-11 Yrs,Bangalore/Bengaluru,"['SQL', 'CRM', 'Service management', 'Data analysis', 'Architecture', 'Artificial Intelligence', 'Analytics', 'Analysis']",1 Day Ago,https://www.naukri.com/job-listings-analytics-specialist-insights-and-intelligence-accenture-solutions-pvt-ltd-bangalore-bengaluru-7-to-11-years-260124906080
65,Service Management Specialist - Governance,Accenture,7-11 Yrs,Bangalore/Bengaluru,"['Automation', 'Data analysis', 'Change management', 'Service management', 'Excel', 'data governance', 'Incident management', 'Change']",1 Day Ago,https://www.naukri.com/job-listings-service-management-specialist-governance-accenture-solutions-pvt-ltd-bangalore-bengaluru-7-to-11-years-260124905996
66,GN - SONG - ACE - Command Center Of Future - Consultant,Accenture,5-10 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Machine learning', 'Asset management', 'Financial services', 'Strategy consulting', 'Reinsurance', 'Client engagement', 'Operations']",1 Day Ago,https://www.naukri.com/job-listings-gn-song-ace-command-center-of-future-consultant-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-260124905983
67,Accenture MxDR Ops Security Threat Analysis-Security Engineer,Accenture,2-5 Yrs,Chennai,"['Data analysis', 'Information security', 'SOC', 'Network security', 'IT security', 'Intrusion detection', 'Security operations', 'Security monitoring']",1 Day Ago,https://www.naukri.com/job-listings-accenture-mxdr-ops-security-threat-analysis-security-engineer-accenture-solutions-pvt-ltd-chennai-2-to-5-years-260124905873
68,Business Analyst- Supply Chain industry,MothersonSumi INfotech & Designs (MIND),4-8 Yrs,"Noida, Uttar Pradesh","['Business Analytics', 'Supply Chain Planning', 'process mapping', 'ERP System', 'Business Planning', 'data analysis', 'modeling', 'testing']",1 Day Ago,https://www.naukri.com/job-listings-business-analyst-supply-chain-industry-mothersonsumi-infotech-designs-mind-noida-uttar-pradesh-4-to-8-years-260124005805
69,Infra Tech Support Practitioner,Accenture,4-8 Yrs,Noida,"['Data migration', 'Database design', 'Troubleshooting', 'Information technology', 'SQL', 'Team management', 'Postgresql', 'Disaster recovery']",1 Day Ago,https://www.naukri.com/job-listings-infra-tech-support-practitioner-accenture-solutions-pvt-ltd-noida-4-to-8-years-260124905732
70,SAP For Retail Store Operations-Data Platform Engineer,Accenture,5-10 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Test scripts', 'Functional testing', 'Retail store operations', 'Test case design', 'Sales', 'sap retail', 'Data']",1 Day Ago,https://www.naukri.com/job-listings-sap-for-retail-store-operations-data-platform-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-260124905709
71,GN - SONG - ACE - Life Sciences - 06,Accenture,12-14 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Machine learning', 'Asset management', 'Financial services', 'Strategy consulting', 'Reinsurance', 'Life sciences', 'Operations']",1 Day Ago,https://www.naukri.com/job-listings-gn-song-ace-life-sciences-06-accenture-solutions-pvt-ltd-bangalore-bengaluru-12-to-14-years-260124905698
72,Microsoft Azure Data Services-Business Analyst,Accenture,2-5 Yrs,Bangalore/Bengaluru,"['XML', 'microsoft azure', 'SSIS', 'SQL', 'data services', 'Troubleshooting', 'Data', 'Microsoft']",1 Day Ago,https://www.naukri.com/job-listings-microsoft-azure-data-services-business-analyst-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-260124905697
73,Data Scientist,Allegis Group,8-13 Yrs,Hyderabad,"['NLP', 'Data Mining', 'Computer Vision', 'Tensorflow', 'Pytorch', 'Python', 'Data', 'Natural language processing']",1 Day Ago,https://www.naukri.com/job-listings-data-scientist-allegis-group-hyderabad-8-to-13-years-260124005651
74,Walk-in Interviews For MIS Executive || Heritage Foods Ltd @ Hyderabad,HERITAGE FOODS LIMITED,,,"['Mis Report Preparation', 'sales reports', 'Pivot Table', 'SUMIF', 'Sales Mis', 'VLOOKUP', 'Formulas', 'Advanced Excel']",1 Day Ago,https://www.naukri.com/job-listings-walk-in-interviews-for-mis-executive-heritage-foods-ltd-hyderabad-heritage-foods-limited-hyderabad-telangana-5-to-10-years-090124010317
